the_geom,cartodb_id,address,latitude,longitude,neighborhood
0101000020E6100000CD5A0A48FB4253C0D6C8AEB48C724340,149,US Dept of State / Virginia Ave & 21st St NW,38.894919,-77.046587,Monumental Core
0101000020E61000006DC5FEB27B4253C03A92CB7F48774340,150,Lamont & Mt Pleasant NW,38.9319,-77.0388,Mount Pleasant
0101000020E61000006CAF05BD374153C06B7D91D096734340,151,5th & K St NW,38.90304,-77.019027,Mount Vernon Square
0101000020E6100000BCE0D39CBC4153C0AC0320EEEA734340,152,11th & M St NW,38.905607,-77.027137,Mount Vernon Square
0101000020E6100000956588635D4053C04772F90FE96F4340,153,1st & N St  SE,38.8743,-77.0057,Navy Yard
0101000020E6100000B0BFEC9E3C4053C00DBE30992A704340,154,M St & New Jersey Ave SE,38.8763,-77.0037,Navy Yard
0101000020E6100000A9605452274053C024D6E25300704340,155,3rd & Tingey St SE,38.87501,-77.0024,Navy Yard
0101000020E6100000E2361AC05B4053C05DFE43FAED734340,156,1st & M St NE,38.9057,-77.0056,Near Northeast
0101000020E6100000107A36AB3E3F53C05D4BC8073D734340,157,13th & H St NE,38.9003,-76.9882,Near Northeast
0101000020E6100000D2C3D0EAE43F53C069A8514832734340,158,6th & H St NE,38.899972,-76.998347,Near Northeast
0101000020E6100000A2D0B2EE1F4053C086764EB340734340,159,3rd & H St NE,38.900412,-77.001949,Near Northeast
0101000020E610000004E3E0D2314053C00F61FC34EE734340,160,M St & Delaware Ave NE,38.905707,-77.003041,Near Northeast
0101000020E6100000C76471FF914053C07A8EC87729734340,161,North Capitol St & G Pl NE,38.899703,-77.008911,Near Northeast
0101000020E6100000DB8651103C4053C09E98F56228734340,162,2nd & G St NE,38.89967,-77.003666,Near Northeast
0101000020E6100000DDB3AED1723F53C05DFA97A432734340,163,11th & H St NE,38.899983,-76.991383,Near Northeast
0101000020E61000004BE9995E624053C023F8DF4A76704340,164,1st & K St SE,38.87861,-77.006004,Near Southeast
0101000020E6100000C93A1C5DA53F53C0B91803EB38704340,165,Potomac Ave & 8th St SE,38.876737,-76.994468,Near Southeast
0101000020E61000004701A260C64053C0925852EE3E734340,166,1st & H St NW,38.900358,-77.012108,North Capitol Street
0101000020E610000061FD9FC37C4153C07EE5417A8A724340,167,8th & D St NW,38.894851,-77.02324,Penn Quarter
0101000020E610000077F86BB2464153C03B71395E81724340,168,6th St & Indiana Ave NW,38.894573,-77.01994,Penn Quarter
0101000020E6100000A51133FB3C4153C037A0A52BD8724340,169,5th & F St NW,38.897222,-77.019347,Penn Quarter
0101000020E6100000CF691668774153C0A9F6E978CC724340,170,8th & F St NW,38.896865,-77.022913,Penn Quarter
0101000020E61000004AC8073D9B4153C0B8AF03E78C784340,171,9th & Upshur St NW,38.9418,-77.0251,Petworth
0101000020E61000008046E9D2BF4153C0812040868E794340,172,Georgia Ave & Emerson St NW,38.949662,-77.027333,Petworth
0101000020E610000089096AF8164253C08527F4FA93784340,173,14th & Upshur St NW,38.942016,-77.032652,Petworth
